Running Time,Self (ms),,Symbol Name
0.0ms    0.0%,0, ,        ImageLoaderMachO::findExportedSymbol(char const*, bool, ImageLoader const**) const
0.0ms    0.0%,0, ,         ImageLoaderMachO::findExportedSymbol(char const*, bool, ImageLoader const**) const
0.0ms    0.0%,0, ,          ImageLoaderMachOCompressed::findExportedSymbol(char const*, ImageLoader const**) const
0.0ms    0.0%,0.04, ,           ImageLoaderMachOCompressed::trieWalk(unsigned char const*, unsigned char const*, char const*)
0.0ms    0.0%,0, ,  sys_common::cleanup::hb3552c55f0aa0a8da5s
0.0ms    0.0%,0.04, ,   free
0.0ms    0.0%,0, , 0x10a8e2017
0.0ms    0.0%,0, ,  dyld_stub_binder
0.0ms    0.0%,0, ,   dyld::fastBindLazySymbol(ImageLoader**, unsigned long)
0.0ms    0.0%,0, ,    ImageLoaderMachOCompressed::doBindFastLazySymbol(unsigned int, ImageLoader::LinkContext const&, void (*)(), void (*)())
0.0ms    0.0%,0, ,     ImageLoaderMachOCompressed::resolve(ImageLoader::LinkContext const&, char const*, unsigned char, long, ImageLoader const**, ImageLoaderMachOCompressed::LastLookup*, bool)
0.0ms    0.0%,0, ,      ImageLoaderMachOCompressed::resolveTwolevel(ImageLoader::LinkContext const&, ImageLoader const*, bool, char const*, bool, ImageLoader const**)
0.0ms    0.0%,0, ,       ImageLoaderMachO::findExportedSymbol(char const*, bool, ImageLoader const**) const
0.0ms    0.0%,0, ,        ImageLoaderMachO::findExportedSymbol(char const*, bool, ImageLoader const**) const
0.0ms    0.0%,0, ,         ImageLoaderMachOCompressed::findExportedSymbol(char const*, ImageLoader const**) const
0.0ms    0.0%,0.04, ,          ImageLoaderMachOCompressed::trieWalk(unsigned char const*, unsigned char const*, char const*)
1.6ms    0.0%,0.04, ,_dyld_start
1.6ms    0.0%,0, , dyldbootstrap::start(macho_header const*, int, char const**, long, macho_header const*, unsigned long*)
1.6ms    0.0%,0, ,  dyld::_main(macho_header const*, unsigned long, int, char const**, char const**, char const**, unsigned long*)
1.0ms    0.0%,0, ,   dyld::link(ImageLoader*, bool, bool, ImageLoader::RPathChain const&)
1.0ms    0.0%,0, ,    ImageLoader::link(ImageLoader::LinkContext const&, bool, bool, bool, ImageLoader::RPathChain const&)
0.4ms    0.0%,0, ,     dyld::notifyBatchPartial(dyld_image_states, bool, char const* (*)(dyld_image_states, unsigned int, dyld_image_info const*))
0.4ms    0.0%,0, ,      coresymbolication_load_image(CSCppDyldSharedMemoryPage*, ImageLoader const*, unsigned long long)
0.4ms    0.0%,0, ,       CSCppDyldSharedMemoryPage::send_notice(unsigned int, unsigned int&, unsigned int&)
0.4ms    0.0%,0, ,        mach_msg
0.4ms    0.0%,0.36, ,         mach_msg_trap
0.0ms    0.0%,0.04, ,        mach_port_allocate
0.0ms    0.0%,0, ,      _qsort
0.0ms    0.0%,0.04, ,       ImageLoader::compare(ImageLoader const*) const
0.4ms    0.0%,0, ,     ImageLoader::recursiveLoadLibraries(ImageLoader::LinkContext const&, bool, ImageLoader::RPathChain const&)
0.4ms    0.0%,0, ,      ImageLoader::recursiveLoadLibraries(ImageLoader::LinkContext const&, bool, ImageLoader::RPathChain const&)
0.2ms    0.0%,0, ,       dyld::libraryLocator(char const*, bool, char const*, ImageLoader::RPathChain const*)
0.2ms    0.0%,0, ,        dyld::load(char const*, dyld::LoadContext const&)
0.2ms    0.0%,0, ,         dyld::loadPhase0(char const*, char const*, dyld::LoadContext const&, std::__1::vector<char const*, std::__1::allocator<char const*> >*)
0.2ms    0.0%,0, ,          dyld::loadPhase1(char const*, char const*, dyld::LoadContext const&, std::__1::vector<char const*, std::__1::allocator<char const*> >*)
